Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1943,7,1.147,,0.677,-0.063,-0.027,-0.731,,,,1.408,,,0.630,6.010,-1.048,0
1943,8,1.208,,0.708,-0.027,0.010,-0.688,,,,1.396,,,0.620,5.960,-1.048,0
1943,9,1.177,,0.665,-0.079,-0.042,-0.752,,,,1.417,,,0.530,5.980,-1.139,0
1943,10,1.116,,0.717,-0.018,0.010,-0.697,,,,1.414,,,0.590,5.970,-1.078,0
1943,11,1.177,,0.677,-0.088,-0.036,-0.749,,,,1.426,,,0.480,6.020,-1.109,7
1943,12,1.116,,0.531,-0.234,-0.195,-0.920,,,,1.451,,,0.430,5.880,-1.658,0
1944,1,0.994,,0.552,-0.204,-0.158,-0.871,,,,1.423,,,0.480,5.800,-1.292,0
1944,2,1.360,,0.580,-0.201,-0.158,-0.899,,,,1.478,,,0.520,5.990,-1.261,0
1944,3,1.208,,0.549,-0.188,-0.158,-0.862,,,,1.411,,,0.460,5.880,-1.261,0
1944,4,1.025,,0.619,-0.121,-0.079,-0.777,,,,1.396,,,0.440,5.840,-1.170,0
1944,5,1.025,,0.598,-0.121,-0.085,-0.764,,,,1.362,,,0.470,5.890,-1.017,0
1944,6,1.177,,0.699,-0.039,0.010,-0.679,,,,1.378,,,0.560,5.990,-1.017,0
1944,7,0.994,,0.695,-0.042,-0.006,-0.704,,,,1.399,,,0.540,5.900,-0.926,0
1944,8,1.116,,0.683,-0.060,-0.027,-0.737,,,,1.420,,,0.560,5.900,-0.957,0
1944,9,2.579,,0.720,-0.060,-0.018,-0.752,,,,1.472,,,0.610,5.950,-1.170,0
1944,10,1.208,,0.714,-0.073,-0.024,-0.761,,,,1.475,,,0.490,5.950,-1.231,0
1944,11,1.726,,0.760,-0.002,0.049,-0.658,,,,1.417,,,0.570,6.100,-1.231,0
1944,12,1.421,,0.558,-0.188,-0.140,-0.841,,,,1.399,,,0.590,5.860,-1.536,0
1945,1,1.086,,0.528,-0.201,-0.152,-0.835,,,,1.362,,,0.540,5.860,-1.475,0
1945,2,1.147,,0.555,-0.182,-0.137,-0.829,,,,1.384,,,0.600,5.990,-1.231,0
1945,3,1.116,,0.628,-0.106,-0.063,-0.755,,,,1.384,,,0.620,5.930,-1.170,0
1945,4,1.116,,0.631,-0.097,-0.060,-0.755,,,,1.387,,,0.540,6.110,-1.170,0
1945,5,1.451,,0.720,-0.002,0.025,-0.667,,,,1.387,,,0.590,5.910,-1.719,0
1945,6,1.086,,0.711,-0.039,0.019,-0.670,,,,1.381,,,0.570,5.910,-1.017,0
1945,7,1.025,,0.726,-0.021,0.025,-0.676,,,,1.402,,,0.540,5.860,-0.865,0
1945,8,1.025,,0.683,-0.060,-0.024,-0.731,,,,1.414,,,0.530,6.030,-1.048,0
1945,9,1.147,,0.689,-0.054,-0.012,-0.710,,,,1.399,,,0.510,5.900,-1.231,0
1945,10,1.269,,0.717,-0.024,0.013,-0.694,,,,1.411,,,0.580,6.050,-1.231,0
1945,11,1.695,,0.714,-0.009,0.031,-0.652,,,,1.366,,,0.600,6.140,-1.231,0
1945,12,1.238,,0.695,-0.018,0.025,-0.646,,,,1.341,,,0.660,5.960,-1.170,0
1946,1,1.086,,0.580,-0.121,-0.091,-0.758,,,,1.338,,,0.560,5.990,-1.322,0
1946,2,1.055,,0.555,-0.155,-0.127,-0.813,,,,1.369,,,0.470,6.160,-1.444,0
1946,3,0.933,,0.616,-0.100,-0.063,-0.743,,,,1.359,,,0.540,5.930,-1.109,0
1946,4,1.269,,0.668,-0.063,-0.024,-0.719,,,,1.387,,,0.540,5.870,-1.109,0
1946,5,1.269,,0.686,-0.063,-0.021,-0.728,,,,1.414,,,0.310,5.860,-1.170,0
